model_name,min_topic_size,topic_representations,topic_diversity,topic_coherence_npmi,topic_coherence_umass,seed
BERTopic,15,"[['imeti', 'nov', 'slovenija', 'čas', 'država', 'človek', 'slovenski', 'vlada', 'delo', 'ukrep'], ['film', 'filmski', 'festival', 'imeti', 'režiser', 'življenje', 'meghan', 'gledališče', 'vloga', 'kraljev'], ['maska', 'bolnik', 'zdravstven', 'bolnišnica', 'ukrep', 'vlada', 'zaščiten', 'okužba', 'covid', 'epidemija'], ['policist', 'požar', 'gasilec', 'območje', 'policija', 'policijski', 'dejanje', 'ura', 'kraj', 'kazniv'], ['okužba', 'nov', 'koronavirus', 'kitajski', 'človek', 'država', 'virus', 'število', 'ukrep', 'italija'], ['okužba', 'nov', 'bolnik', 'covid', 'okužen', 'potrditi', 'koronavirus', 'število', 'dom', 'test'], ['cesta', 'vozilo', 'voznik', 'nesreča', 'prometen', 'policist', 'promet', 'avtocesta', 'ura', 'prehod'], ['tekma', 'liga', 'klub', 'nogometen', 'sezona', 'prvak', 'prvenstvo', 'tekmovanje', 'nogometaš', 'igralec'], ['svetoven', 'tekma', 'pokal', 'mesto', 'smučarski', 'sezona', 'slovenski', 'prevc', 'skok', 'imeti'], ['piškotek', 'uporabnik', 'spleten', 'aplikacija', 'pameten', 'telefon', 'podjetje', 'naprava', 'omogočati', 'huawei'], ['dirka', 'etapa', 'kolesar', 'roglič', 'pogačar', 'zmaga', 'tour', 'sezona', 'majica', 'sekunda'], ['delavec', 'evro', 'plača', 'delo', 'deloven', 'zakon', 'delodajalec', 'odstotek', 'predlog', 'pokojnina'], ['trump', 'zda', 'biden', 'ameriški', 'država', 'predsednik', 'volitev', 'trumpov', 'okužba', 'new'], ['avtomobil', 'vozilo', 'električen', 'motor', 'model', 'cena', 'nov', 'liter', 'evro', 'gorivo'], ['hrana', 'kmetijski', 'izdelek', 'rastlina', 'meso', 'vino', 'mleko', 'kmetijstvo', 'sladkor', 'imeti']]",0.8133333333333334,0.1280458023181249,-2.397600192518396,1
BERTopic,15,"[['imeti', 'nov', 'slovenija', 'čas', 'človek', 'država', 'slovenski', 'vlada', 'delo', 'ukrep'], ['okužba', 'nov', 'koronavirus', 'kitajski', 'država', 'človek', 'virus', 'število', 'ukrep', 'potrditi'], ['tekma', 'turnir', 'igralec', 'igrati', 'sezona', 'klub', 'prvenstvo', 'liga', 'slovenski', 'teniški'], ['okužba', 'bolnik', 'nov', 'bolnišnica', 'covid', 'okužen', 'dom', 'zdravstven', 'potrditi', 'število'], ['tekma', 'minuta', 'točka', 'liga', 'zmaga', 'ekipa', 'sezona', 'nba', 'dončić', 'dallas'], ['evropski', 'država', 'članica', 'komisija', 'unija', 'dogovor', 'bruselj', 'minister', 'slovenija', 'pogajanje'], ['film', 'kraljev', 'meghan', 'princ', 'filmski', 'harry', 'britanski', 'družina', 'imeti', 'fotografija'], ['tekma', 'liga', 'klub', 'nogometen', 'sezona', 'prvenstvo', 'prvak', 'nogometaš', 'tekmovanje', 'barcelona'], ['svetoven', 'tekma', 'pokal', 'mesto', 'smučarski', 'sezona', 'slovenski', 'prevc', 'točka', 'imeti'], ['piškotek', 'uporabnik', 'spleten', 'aplikacija', 'telefon', 'podjetje', 'pameten', 'omogočati', 'mobilen', 'naprava'], ['šola', 'otrok', 'učenec', 'šolski', 'izobraževanje', 'starš', 'vrtec', 'daljava', 'pouk', 'učitelj'], ['trump', 'zda', 'biden', 'volitev', 'predsednik', 'ameriški', 'država', 'trumpov', 'donald', 'glas'], ['stranka', 'desus', 'vlada', 'koalicija', 'poslanec', 'predsednik', 'volitev', 'smc', 'erjavec', 'odstotek'], ['dirka', 'etapa', 'kolesar', 'roglič', 'tour', 'zmaga', 'pogačar', 'sezona', 'majica', 'sekunda'], ['glasba', 'glasben', 'pesem', 'koncert', 'skladba', 'album', 'festival', 'glasbenik', 'imeti', 'slovenski']]",0.78,0.15999672013195396,-2.2379294909192513,2
BERTopic,15,"[['imeti', 'nov', 'slovenija', 'čas', 'država', 'slovenski', 'človek', 'vlada', 'delo', 'ukrep'], ['cesta', 'policist', 'vozilo', 'nesreča', 'voznik', 'prometen', 'ura', 'gasilec', 'območje', 'požar'], ['okužba', 'nov', 'koronavirus', 'država', 'kitajski', 'človek', 'število', 'umreti', 'potrditi', 'virus'], ['film', 'filmski', 'festival', 'imeti', 'meghan', 'kraljev', 'harry', 'princ', 'režiser', 'vloga'], ['okužba', 'bolnik', 'nov', 'bolnišnica', 'covid', 'okužen', 'dom', 'potrditi', 'koronavirus', 'število'], ['tekma', 'liga', 'klub', 'nogometen', 'sezona', 'prvak', 'prvenstvo', 'nogometaš', 'barcelona', 'tekmovanje'], ['evropski', 'država', 'članica', 'komisija', 'unija', 'bruselj', 'dogovor', 'minister', 'turčija', 'slovenija'], ['ljubezen', 'imeti', 'življenje', 'čas', 'človek', 'zato', 'odnos', 'otrok', 'partner', 'čustvo'], ['maska', 'vlada', 'ukrep', 'zaščiten', 'epidemija', 'javen', 'slovenija', 'odlok', 'nov', 'oprema'], ['svetoven', 'tekma', 'pokal', 'mesto', 'smučarski', 'sezona', 'slovenski', 'točka', 'prevc', 'sekunda'], ['hrana', 'rastlina', 'kmetijski', 'izdelek', 'imeti', 'meso', 'telo', 'sladkor', 'mleko', 'olje'], ['šola', 'otrok', 'učenec', 'šolski', 'izobraževanje', 'starš', 'vrtec', 'daljava', 'pouk', 'dijak'], ['dirka', 'etapa', 'kolesar', 'roglič', 'tour', 'pogačar', 'zmaga', 'kolesarski', 'majica', 'sezona'], ['evro', 'plača', 'delo', 'delavec', 'deloven', 'delodajalec', 'zakon', 'odstotek', 'zaposlen', 'predlog'], ['stranka', 'desus', 'vlada', 'koalicija', 'poslanec', 'predsednik', 'volitev', 'smc', 'erjavec', 'poslanski']]",0.8266666666666667,0.14906096679726685,-2.3414822290655315,3
BERTopic,20,"[['imeti', 'nov', 'slovenija', 'čas', 'država', 'slovenski', 'človek', 'delo', 'vlada', 'evro'], ['policist', 'vozilo', 'cesta', 'voznik', 'nesreča', 'prometen', 'policijski', 'ura', 'promet', 'policija'], ['film', 'filmski', 'festival', 'imeti', 'meghan', 'kraljev', 'režiser', 'gledališče', 'življenje', 'harry'], ['okužba', 'bolnik', 'nov', 'covid', 'okužen', 'bolnišnica', 'potrditi', 'koronavirus', 'število', 'dom'], ['kitajski', 'okužba', 'koronavirus', 'nov', 'človek', 'država', 'virus', 'število', 'ukrep', 'italija'], ['evropski', 'država', 'članica', 'komisija', 'unija', 'bruselj', 'dogovor', 'minister', 'turčija', 'slovenija'], ['tekma', 'liga', 'klub', 'nogometen', 'sezona', 'prvak', 'prvenstvo', 'tekmovanje', 'nogometaš', 'igralec'], ['stranka', 'desus', 'vlada', 'koalicija', 'predsednik', 'poslanec', 'volitev', 'smc', 'sds', 'poslanski'], ['dirka', 'etapa', 'kolesar', 'roglič', 'pogačar', 'tour', 'zmaga', 'kolesarski', 'sezona', 'majica'], ['tekma', 'svetoven', 'pokal', 'mesto', 'sezona', 'smučarski', 'slovenski', 'prevc', 'točka', 'sekunda'], ['maska', 'vlada', 'ukrep', 'zaščiten', 'odlok', 'javen', 'epidemija', 'slovenija', 'trgovina', 'okužba'], ['ljubezen', 'imeti', 'življenje', 'čas', 'zato', 'odnos', 'človek', 'partner', 'čustvo', 'telo'], ['piškotek', 'uporabnik', 'spleten', 'aplikacija', 'telefon', 'naprava', 'podjetje', 'omogočati', 'huawei', 'tovrsten'], ['hrana', 'kmetijski', 'izdelek', 'rastlina', 'meso', 'vino', 'imeti', 'sladkor', 'mleko', 'kmetijstvo'], ['trump', 'zda', 'biden', 'predsednik', 'država', 'volitev', 'ameriški', 'trumpov', 'okužba', 'glas']]",0.8133333333333334,0.11338863829647056,-3.0571306569588645,1
BERTopic,20,"[['imeti', 'nov', 'slovenija', 'čas', 'človek', 'slovenski', 'država', 'delo', 'vlada', 'iti'], ['policist', 'vozilo', 'cesta', 'voznik', 'nesreča', 'prometen', 'promet', 'ura', 'policijski', 'avtocesta'], ['okužba', 'koronavirus', 'nov', 'država', 'kitajski', 'človek', 'število', 'umreti', 'virus', 'potrditi'], ['ukrep', 'maska', 'vlada', 'delavec', 'delo', 'epidemija', 'zakon', 'javen', 'slovenija', 'plača'], ['okužba', 'bolnik', 'nov', 'covid', 'bolnišnica', 'okužen', 'potrditi', 'koronavirus', 'dom', 'zdravstven'], ['tekma', 'točka', 'minuta', 'liga', 'zmaga', 'ekipa', 'nba', 'sezona', 'dončić', 'dallas'], ['film', 'meghan', 'kraljev', 'filmski', 'harry', 'princ', 'imeti', 'britanski', 'družina', 'fotografija'], ['stranka', 'desus', 'vlada', 'volitev', 'koalicija', 'predsednik', 'poslanec', 'smc', 'sds', 'erjavec'], ['trump', 'zda', 'biden', 'ameriški', 'predsednik', 'volitev', 'trumpov', 'država', 'donald', 'glas'], ['svetoven', 'tekma', 'pokal', 'mesto', 'smučarski', 'sezona', 'slovenski', 'prevc', 'točka', 'imeti'], ['evropski', 'članica', 'komisija', 'unija', 'bruselj', 'dogovor', 'država', 'turčija', 'pogajanje', 'evropa'], ['dirka', 'etapa', 'kolesar', 'roglič', 'pogačar', 'tour', 'zmaga', 'kolesarski', 'majica', 'sezona'], ['šola', 'otrok', 'učenec', 'šolski', 'izobraževanje', 'starš', 'daljava', 'pouk', 'vrtec', 'učitelj'], ['hrana', 'rastlina', 'izdelek', 'kmetijski', 'meso', 'imeti', 'voda', 'mleko', 'vitamin', 'sladkor'], ['piškotek', 'uporabnik', 'spleten', 'aplikacija', 'podjetje', 'telefon', 'pameten', 'omogočati', 'naprava', 'tovrsten']]",0.84,0.14417257876782932,-2.704363516740504,2
BERTopic,20,"[['imeti', 'nov', 'slovenija', 'čas', 'slovenski', 'država', 'človek', 'delo', 'vlada', 'ukrep'], ['policist', 'vozilo', 'nesreča', 'voznik', 'gasilec', 'policijski', 'območje', 'prometen', 'požar', 'ura'], ['tekma', 'liga', 'klub', 'nogometen', 'sezona', 'prvak', 'prvenstvo', 'nogometaš', 'tekmovanje', 'igralec'], ['okužba', 'nov', 'koronavirus', 'kitajski', 'država', 'človek', 'virus', 'število', 'potrditi', 'umreti'], ['film', 'filmski', 'festival', 'imeti', 'meghan', 'kraljev', 'harry', 'režiser', 'princ', 'gledališče'], ['maska', 'bolnik', 'zdravstven', 'ukrep', 'bolnišnica', 'vlada', 'zaščiten', 'okužba', 'covid', 'epidemija'], ['evropski', 'cepivo', 'država', 'članica', 'komisija', 'unija', 'bruselj', 'dogovor', 'minister', 'slovenija'], ['okužba', 'nov', 'potrditi', 'okužen', 'bolnik', 'covid', 'koronavirus', 'umreti', 'število', 'hrvaški'], ['stranka', 'desus', 'vlada', 'volitev', 'koalicija', 'predsednik', 'poslanec', 'smc', 'erjavec', 'poslanski'], ['ljubezen', 'življenje', 'imeti', 'čas', 'odnos', 'zato', 'človek', 'partner', 'čustvo', 'otrok'], ['dirka', 'etapa', 'kolesar', 'roglič', 'pogačar', 'tour', 'zmaga', 'majica', 'sekunda', 'ekipa'], ['hrana', 'kmetijski', 'rastlina', 'izdelek', 'imeti', 'meso', 'sladkor', 'koža', 'mleko', 'olje'], ['evro', 'delavec', 'delo', 'plača', 'delodajalec', 'deloven', 'zakon', 'odstotek', 'zaposlen', 'predlog'], ['avtomobil', 'vozilo', 'električen', 'motor', 'model', 'cena', 'nov', 'liter', 'evro', 'gorivo'], ['trump', 'zda', 'biden', 'država', 'predsednik', 'volitev', 'ameriški', 'trumpov', 'okužba', 'donald']]",0.8,0.13804422840999445,-2.371521515265746,3
BERTopic,35,"[['imeti', 'nov', 'slovenija', 'čas', 'država', 'slovenski', 'človek', 'delo', 'vlada', 'ukrep'], ['občina', 'stanovanje', 'objekt', 'gasilec', 'območje', 'požar', 'cesta', 'prostor', 'voda', 'gradnja'], ['maska', 'okužba', 'zdravstven', 'bolnik', 'dom', 'bolnišnica', 'ukrep', 'zaposlen', 'vlada', 'covid'], ['film', 'filmski', 'meghan', 'imeti', 'kraljev', 'festival', 'harry', 'režiser', 'princ', 'življenje'], ['tekma', 'liga', 'klub', 'nogometen', 'sezona', 'prvenstvo', 'tekmovanje', 'prvak', 'nogometaš', 'barcelona'], ['okužba', 'koronavirus', 'nov', 'kitajski', 'država', 'človek', 'število', 'virus', 'umreti', 'covid'], ['vozilo', 'policist', 'cesta', 'voznik', 'nesreča', 'prometen', 'ura', 'promet', 'policijski', 'leten'], ['avtomobil', 'električen', 'vozilo', 'telefon', 'model', 'pameten', 'nov', 'motor', 'zaslon', 'cena'], ['ljubezen', 'imeti', 'življenje', 'čas', 'zato', 'odnos', 'človek', 'partner', 'čustvo', 'telo'], ['stranka', 'desus', 'vlada', 'koalicija', 'volitev', 'predsednik', 'poslanec', 'smc', 'erjavec', 'poslanski'], ['trump', 'biden', 'zda', 'volitev', 'predsednik', 'ameriški', 'trumpov', 'donald', 'demokrat', 'glas'], ['dirka', 'etapa', 'kolesar', 'roglič', 'pogačar', 'tour', 'zmaga', 'majica', 'kolesarski', 'sekunda'], ['svetoven', 'tekma', 'pokal', 'mesto', 'sezona', 'smučarski', 'slovenski', 'prevc', 'točka', 'skok'], ['evropski', 'članica', 'komisija', 'bruselj', 'unija', 'dogovor', 'država', 'turčija', 'pogajanje', 'evropa'], ['okužba', 'nov', 'potrditi', 'bolnik', 'covid', 'koronavirus', 'umreti', 'okužen', 'hrvaški', 'število']]",0.8066666666666666,0.1471936068792241,-2.375203875863699,1
BERTopic,35,"[['imeti', 'slovenija', 'nov', 'čas', 'država', 'človek', 'slovenski', 'vlada', 'delo', 'ukrep'], ['policist', 'vozilo', 'voznik', 'nesreča', 'gasilec', 'požar', 'območje', 'prometen', 'policijski', 'leten'], ['okužba', 'bolnik', 'nov', 'bolnišnica', 'okužen', 'covid', 'koronavirus', 'dom', 'potrditi', 'število'], ['okužba', 'koronavirus', 'nov', 'kitajski', 'država', 'človek', 'število', 'virus', 'umreti', 'covid'], ['film', 'filmski', 'festival', 'meghan', 'kraljev', 'imeti', 'harry', 'princ', 'režiser', 'življenje'], ['avtomobil', 'telefon', 'vozilo', 'električen', 'model', 'aplikacija', 'pameten', 'nov', 'zaslon', 'motor'], ['občina', 'stanovanje', 'objekt', 'gradnja', 'prostor', 'evro', 'projekt', 'cesta', 'voda', 'odpadek'], ['trump', 'biden', 'zda', 'ameriški', 'volitev', 'predsednik', 'trumpov', 'donald', 'država', 'glas'], ['svetoven', 'tekma', 'mesto', 'pokal', 'sezona', 'smučarski', 'slovenski', 'prevc', 'točka', 'zmaga'], ['dirka', 'etapa', 'kolesar', 'roglič', 'pogačar', 'tour', 'zmaga', 'kolesarski', 'majica', 'sekunda'], ['šola', 'otrok', 'učenec', 'šolski', 'izobraževanje', 'starš', 'vrtec', 'daljava', 'pouk', 'učitelj'], ['stranka', 'desus', 'vlada', 'koalicija', 'poslanec', 'predsednik', 'volitev', 'smc', 'sds', 'poslanski'], ['evropski', 'članica', 'komisija', 'unija', 'bruselj', 'dogovor', 'država', 'turčija', 'pogajanje', 'evropa'], ['ljubezen', 'življenje', 'imeti', 'čas', 'zato', 'odnos', 'partner', 'človek', 'čustvo', 'iti'], ['liga', 'tekma', 'klub', 'nogometen', 'tekmovanje', 'prvenstvo', 'koronavirus', 'zveza', 'šport', 'športen']]",0.84,0.14210055733543586,-2.4790471463487185,2
BERTopic,35,"[['imeti', 'nov', 'slovenija', 'čas', 'slovenski', 'država', 'človek', 'delo', 'vlada', 'ukrep'], ['občina', 'stanovanje', 'objekt', 'gasilec', 'cesta', 'območje', 'prostor', 'požar', 'voda', 'gradnja'], ['maska', 'okužba', 'zdravstven', 'bolnik', 'dom', 'ukrep', 'bolnišnica', 'vlada', 'nov', 'zaposlen'], ['film', 'filmski', 'festival', 'imeti', 'meghan', 'kraljev', 'harry', 'režiser', 'življenje', 'princ'], ['evropski', 'cepivo', 'država', 'članica', 'komisija', 'unija', 'bruselj', 'cepljenje', 'dogovor', 'nov'], ['tekma', 'liga', 'klub', 'nogometen', 'sezona', 'prvak', 'nogometaš', 'prvenstvo', 'tekmovanje', 'barcelona'], ['policist', 'vozilo', 'cesta', 'voznik', 'nesreča', 'prometen', 'ura', 'policijski', 'promet', 'leten'], ['okužba', 'koronavirus', 'nov', 'kitajski', 'država', 'človek', 'število', 'umreti', 'virus', 'covid'], ['avtomobil', 'vozilo', 'električen', 'telefon', 'model', 'aplikacija', 'nov', 'pameten', 'motor', 'zaslon'], ['ljubezen', 'imeti', 'življenje', 'čas', 'zato', 'človek', 'odnos', 'partner', 'čustvo', 'otrok'], ['trump', 'biden', 'zda', 'volitev', 'predsednik', 'ameriški', 'trumpov', 'donald', 'demokrat', 'glas'], ['stranka', 'desus', 'vlada', 'koalicija', 'predsednik', 'poslanec', 'volitev', 'smc', 'sds', 'poslanski'], ['šola', 'otrok', 'učenec', 'šolski', 'izobraževanje', 'starš', 'daljava', 'vrtec', 'učitelj', 'pouk'], ['okužba', 'nov', 'bolnik', 'potrditi', 'covid', 'koronavirus', 'umreti', 'okužen', 'hrvaški', 'število'], ['dirka', 'etapa', 'kolesar', 'roglič', 'pogačar', 'tour', 'zmaga', 'majica', 'sekunda', 'kolesarski']]",0.8133333333333334,0.15356047631456854,-2.2908560250206254,3
BERTopic,50,"[['imeti', 'nov', 'slovenija', 'čas', 'država', 'slovenski', 'človek', 'delo', 'vlada', 'ukrep'], ['cepivo', 'okužba', 'nov', 'koronavirus', 'kitajski', 'država', 'človek', 'virus', 'covid', 'število'], ['film', 'filmski', 'meghan', 'imeti', 'kraljev', 'festival', 'harry', 'režiser', 'življenje', 'princ'], ['trump', 'zda', 'ameriški', 'biden', 'predsednik', 'volitev', 'trumpov', 'država', 'donald', 'demokrat'], ['okužba', 'nov', 'bolnik', 'covid', 'potrditi', 'koronavirus', 'okužen', 'umreti', 'število', 'test'], ['stanovanje', 'občina', 'objekt', 'prostor', 'gradnja', 'cesta', 'evro', 'projekt', 'voda', 'odpadek'], ['ljubezen', 'imeti', 'življenje', 'čas', 'zato', 'človek', 'odnos', 'partner', 'telo', 'čustvo'], ['piškotek', 'uporabnik', 'spleten', 'telefon', 'aplikacija', 'pameten', 'naprava', 'mobilen', 'omogočati', 'podjetje'], ['dirka', 'etapa', 'kolesar', 'roglič', 'pogačar', 'tour', 'zmaga', 'majica', 'kolesarski', 'sekunda'], ['policist', 'voznik', 'vozilo', 'nesreča', 'prometen', 'policijski', 'leten', 'alkohol', 'policija', 'vožnja'], ['svetoven', 'tekma', 'pokal', 'mesto', 'sezona', 'smučarski', 'slovenski', 'prevc', 'točka', 'skok'], ['stranka', 'desus', 'vlada', 'koalicija', 'predsednik', 'volitev', 'poslanec', 'smc', 'sds', 'poslanski'], ['evropski', 'unija', 'članica', 'država', 'dogovor', 'bruselj', 'komisija', 'pogajanje', 'turčija', 'minister'], ['dom', 'bolnik', 'zdravstven', 'bolnišnica', 'okužba', 'stanovalec', 'zaposlen', 'okužen', 'covid', 'zdravnik'], ['avtomobil', 'vozilo', 'električen', 'motor', 'model', 'cena', 'nov', 'liter', 'evro', 'gorivo']]",0.8266666666666667,0.14960268355007056,-2.2329742575721387,1
