model_name,num_documents,topic_representations,topic_diversity,topic_coherence_npmi,topic_coherence_umass,seed
top2vec,5000,"[array(['stranka', 'koalicijski', 'poslanec', 'poslanski', 'politicen',
       'desus', 'smc', 'sds', 'jansa', 'koalicija'], dtype='<U14'), array(['trump', 'trumpov', 'ameriski', 'donald', 'biden', 'zda',
       'obtoziti', 'republikanec', 'demokrat', 'obtozba'], dtype='<U14'), array(['obcutek', 'nauciti', 'zivljenje', 'ljubezen', 'cisto',
       'prijatelj', 'custvo', 'prijeten', 'reci', 'znati'], dtype='<U14'), array(['bolnik', 'okuzen', 'okuzba', 'covid', 'hospitaliziran', 'obolel',
       'zdravstven', 'nimz', 'epidemioloski', 'bris'], dtype='<U14'), array(['rast', 'prihodek', 'evro', 'posojilo', 'banka', 'bruto', 'bdp',
       'placa', 'financen', 'sektor'], dtype='<U14'), array(['prvenstvo', 'sezona', 'pokal', 'dirka', 'stopnicka', 'osvojiti',
       'zmaga', 'zmagovalec', 'francoz', 'ugnati'], dtype='<U14'), array(['tehnologija', 'omogocati', 'uporabnik', 'racunalnik', 'pameten',
       'naprava', 'inovativen', 'digitalen', 'baterija', 'mobilen'],
      dtype='<U14'), array(['policist', 'trciti', 'nesreca', 'prometen', 'policijski',
       'poskodovati', 'zaseci', 'odpeljati', 'resevalec', 'kraj'],
      dtype='<U14'), array(['okuzba', 'koronavirus', 'smrten', 'okuzen', 'doslej', 'covid',
       'potrditi', 'sirjenje', 'umreti', 'stevilo'], dtype='<U14'), array(['posneti', 'snemanje', 'pevka', 'pesem', 'uspesnica', 'glasben',
       'glasbenik', 'film', 'prijatelj', 'snemati'], dtype='<U14'), array(['liga', 'tekma', 'mostvo', 'igrati', 'soigralec', 'nogometas',
       'prvak', 'trener', 'branilec', 'igralec'], dtype='<U14'), array(['urejen', 'turisticen', 'parkiren', 'park', 'obcina', 'objekt',
       'najem', 'parkirisce', 'povrsina', 'kuhinja'], dtype='<U14'), array(['literaren', 'umetniski', 'gledaliski', 'razstava', 'avtor',
       'ustvarjalec', 'pisatelj', 'festival', 'kulturen', 'zalozba'],
      dtype='<U14'), array(['zadetek', 'tekma', 'polcas', 'branilec', 'olimpija', 'zoga',
       'vratar', 'trener', 'pokalen', 'gol'], dtype='<U14'), array(['padavina', 'cesta', 'oblacno', 'pihati', 'burja', 'vremenski',
       'veter', 'ponekod', 'krajeven', 'prikljucek'], dtype='<U14')]",0.9533333333333334,0.15144532761439378,-2.6035918409728023,1
NMF,5000,"[['tekma', 'sezona', 'liga', 'točka', 'ekipa', 'mesto', 'klub', 'zmaga', 'minuta', 'igrati'], ['zakon', 'predlog', 'dohodnina', 'sprememba', 'podatek', 'pravilnik', 'davčen', 'dohodek', 'javen', 'oseba'], ['odstotek', 'odstoten', 'lani', 'rast', 'indeks', 'točka', 'podatek', 'cena', 'nizek', 'primerjava'], ['država', 'ZDA', 'ameriški', 'Trump', 'predsednik', 'kitajski', 'evropski', 'dejati', 'meja', 'človek'], ['maska', 'oprema', 'zaščiten', 'zavod', 'policija', 'minister', 'ministrstvo', 'sodišče', 'vlada', 'postopek'], ['občina', 'ura', 'javen', 'mesten', 'občinski', 'center', 'številka', 'zaprt', 'prostor', 'občan'], ['nov', 'okužba', 'koronavirus', 'potrditi', 'okužen', 'število', 'umreti', 'covid', 'bolnišnica', 'človek'], ['človek', 'življenje', 'čas', 'svet', 'zato', 'ljubezen', 'iti', 'pomemben', 'začeti', 'odnos'], ['otrok', 'šola', 'starš', 'učenec', 'vrtec', 'družina', 'šolski', 'učitelj', 'izobraževanje', 'osnoven'], ['imeti', 'iti', 'čas', 'vedeti', 'priti', 'reči', 'zato', 'povedati', 'videti', 'delati'], ['Slovenija', 'Ljubljana', 'slovenski', 'Nbsp', 'mednaroden', 'minister', 'zveza', 'hrvaški', 'evropski', 'dogodek'], ['vlada', 'stranka', 'predsednik', 'evropski', 'Janša', 'političen', 'nov', 'poslanec', 'Slovenija', 'medij'], ['evro', 'milijon', 'podjetje', 'družba', 'sredstvo', 'milijarda', 'nov', 'projekt', 'banka', 'finančen'], ['delo', 'deloven', 'čas', 'delavec', 'zaposlen', 'podjetje', 'dom', 'delodajalec', 'plača', 'nadomestilo'], ['ukrep', 'epidemija', 'vlada', 'zdravstven', 'država', 'covid', 'Slovenija', 'okužba', 'bolnik', 'človek']]",0.84,0.11276221722490229,-1.5964955477897709,1
LDA,5000,"[['nov', 'avtomobil', 'sekunda', 'vožnja', 'etapa', 'imeti', 'telefon', 'električen', 'ura', 'model'], ['voda', 'območje', 'temperatura', 'del', 'meter', 'veter', 'morje', 'požar', 'stopinja', 'gasilec'], ['država', 'ameriški', 'ZDA', 'predsednik', 'evropski', 'kitajski', 'poročati', 'agencija', 'tiskoven', 'človek'], ['evro', 'odstotek', 'podjetje', 'milijon', 'delo', 'ukrep', 'država', 'družba', 'Slovenija', 'finančen'], ['otrok', 'šola', 'družina', 'ženska', 'starš', 'mlad', 'moški', 'fotografija', 'učenec', 'šolski'], ['področje', 'spleten', 'sistem', 'razvoj', 'pomemben', 'različen', 'uporaba', 'podjetje', 'nov', 'projekt'], ['slovenski', 'Slovenija', 'hrvaški', 'Ljubljana', 'dogodek', 'nov', 'letos', 'mednaroden', 'potekati', 'zveza'], ['tekma', 'sezona', 'liga', 'ekipa', 'klub', 'zmaga', 'mesto', 'točka', 'prvenstvo', 'igralec'], ['vlada', 'stranka', 'minister', 'predsednik', 'Slovenija', 'zakon', 'predlog', 'sodišče', 'državen', 'Janša'], ['policist', 'policija', 'vozilo', 'ura', 'promet', 'nesreča', 'policijski', 'cesta', 'voznik', 'dejanje'], ['film', 'knjiga', 'nagrada', 'delo', 'zgodba', 'festival', 'kultura', 'glasba', 'svet', 'pesem'], ['hrana', 'cerkev', 'telo', 'žival', 'svet', 'vrsta', 'bog', 'vino', 'dodati', 'izdelek'], ['občina', 'Maribor', 'prostor', 'mesto', 'nov', 'mesten', 'dom', 'delo', 'center', 'župan'], ['imeti', 'čas', 'človek', 'iti', 'zato', 'vedeti', 'življenje', 'priti', 'videti', 'povedati'], ['nov', 'okužba', 'koronavirus', 'ukrep', 'covid', 'človek', 'zdravstven', 'število', 'okužen', 'epidemija']]",0.88,0.0678150626294134,-1.8331521335630352,1
BERTopic,5000,"[['nov', 'imeti', 'slovenija', 'država', 'čas', 'človek', 'vlada', 'ukrep', 'delo', 'slovenski']]",1.0,-0.0854031524635143,-4.207631335389698,1
top2vec,5000,"[array(['spoznati', 'prijatelj', 'ljubezen', 'smeh', 'cisto', 'vedeti',
       'srce', 'pesem', 'snemanje', 'pevka'], dtype='<U14'), array(['tekma', 'branilec', 'liga', 'mostvo', 'soigralec', 'odigrati',
       'zadetek', 'nogometas', 'igrati', 'trener'], dtype='<U14'), array(['prvenstvo', 'sezona', 'stopnicka', 'dirka', 'pokal', 'francoz',
       'zmaga', 'zmagovalec', 'osvojiti', 'tekma'], dtype='<U14'), array(['rast', 'prihodek', 'posojilo', 'banka', 'odstotek', 'evro',
       'placa', 'upasti', 'bruto', 'financen'], dtype='<U14'), array(['koalicijski', 'stranka', 'poslanski', 'desus', 'poslanec', 'sds',
       'koalicija', 'lms', 'smc', 'ocitek'], dtype='<U14'), array(['okuzba', 'karantena', 'sirjenje', 'koronavirus', 'okuzen',
       'omejitev', 'uvesti', 'ukrep', 'covid', 'smrten'], dtype='<U14'), array(['trumpov', 'trump', 'obtoziti', 'biden', 'zda', 'aretirati',
       'ameriski', 'demokrat', 'umor', 'republikanec'], dtype='<U14'), array(['policist', 'vozilo', 'prometen', 'trciti', 'nesreca', 'voznik',
       'policijski', 'resevalec', 'poskodovati', 'cesta'], dtype='<U14'), array(['politicen', 'demokracija', 'unija', 'vrednota', 'jansa',
       'demokraticen', 'politika', 'drzava', 'solidarnost', 'parlament'],
      dtype='<U14'), array(['bolnik', 'okuzen', 'hospitaliziran', 'okuzba', 'covid',
       'bolnisnica', 'oskrbovanec', 'obolel', 'zdravstven', 'potrjen'],
      dtype='<U14'), array(['umetniski', 'festival', 'literaren', 'gledaliski', 'razstava',
       'avtor', 'kulturen', 'pisatelj', 'galerija', 'umetnik'],
      dtype='<U14'), array(['hladen', 'suh', 'celzij', 'temperatura', 'padavina', 'vreme',
       'burja', 'stopinja', 'pihati', 'veter'], dtype='<U14'), array(['obcina', 'gradnja', 'infrastruktura', 'parkiren', 'parkirisce',
       'mesten', 'objekt', 'zemljisce', 'obcinski', 'izgradnja'],
      dtype='<U14'), array(['pameten', 'tehnologija', 'uporabnik', 'omogocati', 'kupec',
       'zaslon', 'inovativen', 'mobilen', 'racunalnik', 'baterija'],
      dtype='<U14'), array(['raziskava', 'raziskovalec', 'studija', 'cepivo', 'znanstven',
       'protitelo', 'dijak', 'univerza', 'fakulteta', 'znanstvenik'],
      dtype='<U14')]",0.9733333333333334,0.1338703475313031,-2.467616899408244,2
NMF,5000,"[['nov', 'okužba', 'koronavirus', 'potrditi', 'število', 'človek', 'okužen', 'covid', 'umreti', 'bolnik'], ['občina', 'ura', 'javen', 'mesten', 'občinski', 'center', 'številka', 'zaprt', 'občan', 'nadaljnji'], ['Nbsp', 'Ljubljana', 'minister', 'sodišče', 'predsednik', 'svetoven', 'konferenca', 'nov', 'mednaroden', 'evropski'], ['ukrep', 'epidemija', 'vlada', 'zdravstven', 'covid', 'Slovenija', 'zdravje', 'bolnik', 'javen', 'bolezen'], ['človek', 'čas', 'življenje', 'svet', 'zato', 'ljubezen', 'iti', 'začeti', 'odnos', 'vedeti'], ['vlada', 'stranka', 'predsednik', 'poslanec', 'Janša', 'volitev', 'političen', 'nov', 'minister', 'koalicija'], ['nov', 'podjetje', 'vozilo', 'mesto', 'spleten', 'sistem', 'avtomobil', 'projekt', 'uporabnik', 'tehnologija'], ['odstotek', 'evro', 'milijon', 'podjetje', 'milijarda', 'lani', 'cena', 'odstoten', 'prihodek', 'družba'], ['tekma', 'sezona', 'liga', 'točka', 'ekipa', 'mesto', 'klub', 'zmaga', 'minuta', 'igrati'], ['otrok', 'šola', 'starš', 'učenec', 'vrtec', 'družina', 'šolski', 'učitelj', 'osnoven', 'izobraževanje'], ['Slovenija', 'slovenski', 'Ljubljana', 'hrvaški', 'evropski', 'republika', 'zveza', 'mednaroden', 'država', 'Slovenec'], ['delo', 'zakon', 'deloven', 'delavec', 'plača', 'delodajalec', 'zaposlen', 'čas', 'predlog', 'nadomestilo'], ['maska', 'oprema', 'zaščiten', 'podjetje', 'zavod', 'ministrstvo', 'sodišče', 'policija', 'pogodba', 'postopek'], ['imeti', 'iti', 'vedeti', 'priti', 'reči', 'čas', 'povedati', 'zato', 'videti', 'delati'], ['država', 'evropski', 'ZDA', 'ameriški', 'predsednik', 'kitajski', 'meja', 'Trump', 'pandemija', 'članica']]",0.8266666666666667,0.1120847321708853,-1.616080384944699,2
LDA,5000,"[['tekma', 'sezona', 'liga', 'ekipa', 'klub', 'točka', 'zmaga', 'slovenski', 'prvenstvo', 'igralec'], ['vlada', 'Slovenija', 'predsednik', 'minister', 'stranka', 'slovenski', 'zakon', 'predlog', 'državen', 'država'], ['Slovenija', 'temperatura', 'prehod', 'cesta', 'ura', 'veter', 'stopinja', 'mejen', 'pretežno', 'avtocesta'], ['slovenski', 'film', 'svet', 'knjiga', 'nov', 'nagrada', 'dogodek', 'delo', 'Slovenija', 'mlad'], ['imeti', 'čas', 'človek', 'zato', 'iti', 'življenje', 'vedeti', 'otrok', 'videti', 'priti'], ['spleten', 'sistem', 'uporaba', 'uporabnik', 'omogočati', 'uporabljati', 'aplikacija', 'podatek', 'tehnologija', 'različen'], ['ameriški', 'ZDA', 'Trump', 'volitev', 'predsednik', 'dolar', 'New', 'York', 'glas', 'Donald'], ['država', 'nov', 'hrvaški', 'evropski', 'človek', 'koronavirus', 'poročati', 'pandemija', 'kitajski', 'agencija'], ['evro', 'podjetje', 'odstotek', 'milijon', 'Slovenija', 'delo', 'družba', 'nov', 'sredstvo', 'cena'], ['občina', 'vozilo', 'prostor', 'območje', 'nov', 'avtomobil', 'mesto', 'cesta', 'voznik', 'Ljubljana'], ['dirka', 'mesto', 'imeti', 'nov', 'telefon', 'kolesar', 'model', 'pameten', 'svetoven', 'etapa'], ['ukrep', 'šola', 'otrok', 'delo', 'javen', 'čas', 'veljati', 'odlok', 'epidemija', 'Slovenija'], ['policist', 'policija', 'sodišče', 'policijski', 'dejanje', 'leten', 'preiskava', 'kazniv', 'kazen', 'protest'], ['okužba', 'nov', 'koronavirus', 'covid', 'zdravstven', 'število', 'okužen', 'bolnik', 'bolnišnica', 'bolezen'], ['voda', 'hrana', 'izdelek', 'žival', 'indeks', 'telo', 'naraven', 'vrsta', 'okolje', 'dodati']]",0.8533333333333334,0.07978702303154303,-1.790636800122059,2
BERTopic,5000,"[['oblačen', 'aplikacija', 'pretežno', 'uporabnik', 'temperatura', 'piškotek', 'telefon', 'stopinja', 'veter', 'mobilen'], ['trump', 'zda', 'ameriški', 'biden', 'predsednik', 'država', 'trumpov', 'volitev', 'donald', 'zvezen'], ['nov', 'imeti', 'slovenija', 'država', 'čas', 'človek', 'vlada', 'ukrep', 'delo', 'slovenski']]",0.9666666666666667,-0.032709554180962205,-4.666797267138805,2
top2vec,5000,"[array(['tekma', 'liga', 'branilec', 'zadetek', 'mostvo', 'soigralec',
       'igrati', 'odigrati', 'zoga', 'polcas'], dtype='<U14'), array(['posneti', 'snemanje', 'uspesnica', 'film', 'pevka', 'pesem',
       'glasbenik', 'snemati', 'glasben', 'glasba'], dtype='<U14'), array(['prvenstvo', 'sezona', 'pokal', 'dirka', 'stopnicka', 'francoz',
       'osvojiti', 'zmaga', 'zmagovalec', 'tour'], dtype='<U14'), array(['suh', 'ljubezen', 'prijeten', 'pocutje', 'custvo', 'paziti',
       'obcutek', 'riba', 'sreca', 'soncen'], dtype='<U14'), array(['ukrep', 'delodajalec', 'varstvo', 'zakon', 'dejavnost', 'odlok',
       'epidemija', 'nadomestilo', 'protikoronski', 'izvajanje'],
      dtype='<U14'), array(['trump', 'donald', 'trumpov', 'ameriski', 'predsedniski', 'biden',
       'parlament', 'unija', 'voditelj', 'zda'], dtype='<U14'), array(['pisatelj', 'umetniski', 'literaren', 'avtor', 'razstava',
       'kulturen', 'gledaliski', 'knjiga', 'zgodba', 'spomin'],
      dtype='<U14'), array(['okuzba', 'okuzen', 'koronavirus', 'smrten', 'covid', 'doslej',
       'stevilo', 'umreti', 'potrditi', 'zarisce'], dtype='<U14'), array(['pameten', 'omogocati', 'uporabnik', 'tehnologija', 'kupec',
       'naprava', 'zaslon', 'inovativen', 'elektricen', 'platforma'],
      dtype='<U14'), array(['policist', 'nesreca', 'trciti', 'poskodovati', 'policijski',
       'vozilo', 'gasilec', 'voznik', 'resevalec', 'prometen'],
      dtype='<U14'), array(['bolnik', 'zdravstven', 'zdravljenje', 'okuzen', 'bris', 'bolezen',
       'obolel', 'virus', 'hospitaliziran', 'oskrbovanec'], dtype='<U14'), array(['desus', 'stranka', 'koalicijski', 'poslanski', 'poslanec',
       'koalicija', 'smc', 'sab', 'lms', 'sds'], dtype='<U14'), array(['tozilstvo', 'sodisce', 'obtoznica', 'obsojen', 'sodba', 'kazniv',
       'zapor', 'sojenje', 'tozilec', 'npu'], dtype='<U14'), array(['cesta', 'obvoznica', 'obcina', 'prikljucek', 'mesten', 'urejen',
       'zapora', 'gradnja', 'izgradnja', 'infrastruktura'], dtype='<U14'), array(['rast', 'odstotek', 'upasti', 'cetrtletje', 'odstoten', 'bdp',
       'milijarda', 'polletje', 'znizati', 'upad'], dtype='<U14')]",0.9933333333333333,0.14385127584180926,-2.6972043123297826,3
NMF,5000,"[['podjetje', 'maska', 'oprema', 'zaščiten', 'imeti', 'zavod', 'vozilo', 'cena', 'uporaba', 'blagoven'], ['evro', 'milijon', 'milijarda', 'sredstvo', 'družba', 'država', 'prihodek', 'proračun', 'višina', 'projekt'], ['vlada', 'država', 'stranka', 'predsednik', 'Slovenija', 'evropski', 'političen', 'Janša', 'slovenski', 'volitev'], ['imeti', 'človek', 'iti', 'čas', 'vedeti', 'priti', 'zato', 'reči', 'življenje', 'videti'], ['okužba', 'covid', 'koronavirus', 'človek', 'država', 'bolnik', 'število', 'okužen', 'potrditi', 'bolnišnica'], ['delo', 'čas', 'dom', 'deloven', 'zaposlen', 'delavec', 'delodajalec', 'plača', 'delati', 'star'], ['tekma', 'sezona', 'liga', 'točka', 'ekipa', 'mesto', 'klub', 'zmaga', 'minuta', 'igrati'], ['svet', 'slovenski', 'film', 'ljubezen', 'projekt', 'spleten', 'življenje', 'čas', 'zato', 'pomemben'], ['ukrep', 'vlada', 'epidemija', 'javen', 'koronavirus', 'človek', 'država', 'čas', 'veljati', 'širjenje'], ['odstotek', 'odstoten', 'Slovenija', 'rast', 'lani', 'država', 'indeks', 'točka', 'cena', 'nizek'], ['občina', 'ura', 'javen', 'mesten', 'občinski', 'center', 'številka', 'zaprt', 'občan', 'nadaljnji'], ['nov', 'koronavirus', 'umreti', 'pandemija', 'potrditi', 'testiranje', 'mesto', 'svet', 'kitajski', 'ura'], ['zakon', 'predlog', 'podjetje', 'javen', 'sprememba', 'plača', 'podatek', 'Slovenija', 'dohodnina', 'oseba'], ['otrok', 'šola', 'starš', 'učenec', 'vrtec', 'družina', 'šolski', 'učitelj', 'osnoven', 'izobraževanje'], ['Ljubljana', 'Slovenija', 'Nbsp', 'slovenski', 'minister', 'mednaroden', 'zveza', 'konferenca', 'evropski', 'sodišče']]",0.7866666666666666,0.11055263266938638,-1.6363276623060667,3
