model_name,num_documents,topic_representations,topic_diversity,topic_coherence_npmi,topic_coherence_umass,seed
top2vec,5000,"[array(['novinar', 'predsednik', 'vlada', 'levicar', 'protest', 'delo',
       'zakon', 'virus', 'ukrep', 'videti'], dtype='<U11'), array(['slovenija', 'clovek', 'izjava', 'sodisce', 'teden', 'dati',
       'meja', 'zakon', 'rtv', 'protest'], dtype='<U11'), array(['dobiti', 'policija', 'priti', 'drzaven', 'reci', 'najbolj',
       'izjava', 'politicen', 'star', 'svet'], dtype='<U11'), array(['denar', 'slovenec', 'obcina', 'rtv', 'videti', 'oddaja', 'dr',
       'delo', 'protest', 'misliti'], dtype='<U11'), array(['konec', 'obcina', 'zato', 'ocitno', 'sodisce', 'sarec', 'denar',
       'iti', 'delati', 'zaceti'], dtype='<U11'), array(['pomoc', 'policija', 'covid', 'sarec', 'delati', 'iti', 'levica',
       'zakon', 'star', 'epidemija'], dtype='<U11'), array(['svet', 'virus', 'slovenija', 'zaceti', 'najbolj', 'javen', 'reci',
       'okuzba', 'clovek', 'otrok'], dtype='<U11'), array(['ljubljana', 'povedati', 'nov', 'koronavirus', 'jansa', 'svet',
       'sarec', 'cas', 'levicar', 'stranka'], dtype='<U11'), array(['iti', 'dobiti', 'novinar', 'razumeti', 'glede', 'stranka',
       'politicen', 'sodisce', 'volitev', 'javen'], dtype='<U11'), array(['zaceti', 'imeti', 'denar', 'priti', 'policija', 'star', 'levicar',
       'oddaja', 'najbolj', 'volitev'], dtype='<U11'), array(['politicen', 'zakon', 'maska', 'nov', 'volitev', 'epidemija',
       'policija', 'novinar', 'via', 'virus'], dtype='<U11'), array(['minister', 'politicen', 'najbolj', 'dr', 'praviti', 'policija',
       'glede', 'mesto', 'denar', 'sarec'], dtype='<U11'), array(['priti', 'virus', 'minister', 'politicen', 'izjava', 'ura', 'svet',
       'slovenija', 'levica', 'drzaven'], dtype='<U11')]",0.49230769230769234,-0.3432262753901846,-14.543360760168166,1
NMF,5000,"[['slovenski', 'vojska', 'narod', 'politika', 'meja', 'Slovenec', 'vojak', 'kultura', 'državljan', 'levičar'], ['Janša', 'Janez', 'minister', 'premier', 'SDS', 'Šarec', 'volitev', 'intervju', 'dr.', 'zunanji'], ['stranka', 'Ljubljana', 'pomoč', 'gasilec', 'občina', 'požar', 'tehničen', 'prijava', 'covid', 'povedati'], ['človek', 'ukrep', 'življenje', 'videti', 'umreti', 'misliti', 'razumeti', 'zdravje', 'virus', 'star'], ['medij', 'maska', 'javen', 'minister', 'dobiti', 'RTV', 'novinar', 'nositi', 'dati', 'ukrep'], ['nov', 'okužba', 'koronavirus', 'mesto', 'covid', 'ukrep', 'potrditi', 'star', 'okužen', 'potrjen'], ['vedeti', 'otrok', 'dati', 'reči', 'povedati', 'zato', 'gledati', 'priti', 'govoriti', 'misliti'], ['delo', 'delati', 'ukrep', 'služba', 'otrok', 'državen', 'zato', 'glede', 'videti', 'zaposlitev'], ['vlada', 'ukrep', 'Janšev', 'lev', 'prejšnji', 'opozicija', 'podpora', 'Šarec', 'epidemija', 'šarčev'], ['Slovenija', 'RTV', 'koronavirus', 'republika', 'Slovenec', 'svet', 'covid', 'hrvaški', 'Evropa', 'samostojen'], ['imeti', 'pravica', 'težava', 'zato', 'problem', 'pojem', 'otrok', 'reči', 'povedati', 'občutek'], ['iti', 'RTV', 'Rtv', 'denar', 'reči', 'naprej', 'dati', 'priti', 'videti', 'zato'], ['čas', 'covid', 'epidemija', 'ukrep', 'koronavirus', 'kriza', 'deloven', 'skrajen', 'virus', 'težek'], ['predsednik', 'svet', 'sodišče', 'državen', 'republika', 'pogovor', 'oddaja', 'Pahor', 'ZDA', 'računski'], ['država', 'globok', 'praven', 'svet', 'evropski', 'ukrep', 'živeti', 'pravica', 'edin', 'Evropa']]",0.7333333333333333,-0.18141789726106383,-11.318352034337233,1
LDA,5000,"[['ura', 'teden', 'pravica', 'komunist', 'čakati', 'verjeti', 'naslednji', 'mnenje', 'policist', 'čestitka'], ['protest', 'hvala', 'današnji', 'levičar', 'pogledati', 'vojska', 'podpora', 'boj', 'aplikacija', 'mogoč'], ['mesto', 'sodišče', 'občina', 'levica', 'smrt', 'kultura', 'ustaven', 'laž', 'svetoven', 'hiša'], ['milijon', 'podjetje', 'vojna', 'zaščiten', 'zdeti', 'sprejeti', 'zadeva', 'končno', 'oprema', 'poročilo'], ['povedati', 'priti', 'Slovenec', 'misliti', 'praviti', 'državljan', 'ostati', 'narod', 'potreben', 'Šarec'], ['dobiti', 'novinar', 'RTV', 'slo.', 'treba', 'upati', 'problem', 'družba', 'komunističen', 'kazati'], ['nov', 'okužba', 'gledati', 'zakon', 'rdeč', 'zanimiv', 'večina', 'okužen', 'seja', 'medijski'], ['iti', 'zato', 'reči', 'narediti', 'volitev', 'via', 'lev', 'evro', 'naprej', 'živeti'], ['svet', 'stranka', 'Ljubljana', 'pomoč', 'poslanec', 'vprašanje', 'Evropa', 'skupina', 'oseba', 'prositi'], ['meja', 'oddaja', 'zdravnik', 'služba', 'direktor', 'pot', 'predstavljati', 'Maribor', 'razmera', 'račun'], ['slovenski', 'evropski', 'skupaj', 'roka', 'zgodovina', 'slišati', 'družina', 'pogovor', 'poznati', 'glaven'], ['imeti', 'vedeti', 'maska', 'delati', 'videti', 'dati', 'otrok', 'denar', 'začeti', 'razumeti'], ['dr.', 'govoriti', 'pisati', 'beseda', 'izjava', 'število', 'mlad', 'napad', 'ime', 'zgoditi'], ['državen', 'najbolj', 'konec', 'virus', 'podatek', 'potrebovati', 'zgodba', 'znati', 'knjiga', 'ženska'], ['Slovenija', 'vlada', 'človek', 'država', 'čas', 'minister', 'predsednik', 'covid', 'ukrep', 'medij']]",1.0,-0.3744079964942509,-15.935255691880222,1
BERTopic,5000,"[['maska', 'imeti', 'policija', 'požar', 'gasilec', 'policist', 'twitter', 'evro', 'nov', 'vozilo'], ['slovenija', 'slovenski', 'ljubljana', 'slovenec', 'imeti', 'vlada', 'evropski', 'nov', 'iti', 'evropa']]",0.9,-0.3199667540246739,-12.843158352643393,1
top2vec,5000,"[array(['razumeti', 'zato', 'ukrep', 'koronavirus', 'covid', 'maska', 'dr',
       'slovenski', 'drzaven', 'star'], dtype='<U11'), array(['okuzba', 'zakon', 'star', 'povedati', 'koronavirus', 'sarec',
       'rtv', 'medij', 'cas', 'drzaven'], dtype='<U11'), array(['rtv', 'medij', 'delati', 'praviti', 'policija', 'cas', 'priti',
       'glede', 'levica', 'vlada'], dtype='<U11'), array(['slovenija', 'iti', 'policija', 'nov', 'jansa', 'epidemija',
       'maska', 'slovenski', 'cas', 'politicen'], dtype='<U11'), array(['konec', 'vedeti', 'javen', 'zakon', 'volitev', 'rtv', 'politicen',
       'stranka', 'jansa', 'slovenija'], dtype='<U11'), array(['volitev', 'slovenski', 'jansa', 'zato', 'politicen', 'novinar',
       'svet', 'zaceti', 'drzava', 'razumeti'], dtype='<U11'), array(['clovek', 'ocitno', 'ukrep', 'politicen', 'iti', 'slovenec',
       'slovenija', 'delati', 'policija', 'stranka'], dtype='<U11'), array(['dobiti', 'svet', 'drzava', 'koronavirus', 'predsednik', 'konec',
       'minister', 'ura', 'star', 'drzaven'], dtype='<U11'), array(['izjava', 'zakon', 'povedati', 'glede', 'vlada', 'stranka', 'lev',
       'mesto', 'slovenija', 'oddaja'], dtype='<U11'), array(['dr', 'mesto', 'sarec', 'okuzba', 'slovenija', 'minister', 'zato',
       'zaceti', 'koronavirus', 'svet'], dtype='<U11'), array(['okuzba', 'izjava', 'meja', 'nov', 'glede', 'javen', 'levica',
       'sarec', 'iti', 'praviti'], dtype='<U11')]",0.4636363636363636,-0.3127431613054139,-12.973520633703854,2
NMF,5000,"[['država', 'globok', 'praven', 'predsednik', 'evropski', 'živeti', 'političen', 'sodišče', 'pravica', 'edin'], ['imeti', 'pravica', 'težava', 'zato', 'povedati', 'problem', 'stranka', 'otrok', 'pojem', 'reči'], ['Slovenija', 'RTV', 'republika', 'koronavirus', 'stranka', 'Slovenec', 'predsednik', 'hrvaški', 'samostojen', 'Evropa'], ['Janša', 'maska', 'Janez', 'medij', 'predsednik', 'nositi', 'zaščiten', 'stranka', 'premier', 'dati'], ['vedeti', 'povedati', 'reči', 'dati', 'zato', 'otrok', 'gledati', 'delati', 'govoriti', 'misliti'], ['iti', 'RTV', 'Rtv', 'denar', 'reči', 'dati', 'naprej', 'zato', 'povedati', 'političen'], ['minister', 'dr.', 'zunanji', 'notranji', 'Hojs', 'zadeva', 'predsednik', 'državen', 'zdravje', 'kultura'], ['vlada', 'predsednik', 'Janšev', 'lev', 'prejšnji', 'podpora', 'opozicija', 'stranka', 'Šarec', 'narediti'], ['slovenski', 'vojska', 'narod', 'medij', 'politika', 'meja', 'Slovenec', 'vojak', 'političen', 'kultura'], ['nov', 'okužba', 'koronavirus', 'mesto', 'potrditi', 'demokracija', 'številka', 'star', 'potrjen', 'direktor'], ['delo', 'pomoč', 'Ljubljana', 'delati', 'javen', 'gasilec', 'občina', 'požar', 'ura', 'tehničen'], ['ukrep', 'svet', 'dobiti', 'državen', 'zato', 'epidemija', 'seja', 'virus', 'stranka', 'evropski'], ['covid', 'okužba', 'epidemija', 'koronavirus', 'število', 'dr.', 'glede', 'virus', 'okužen', 'bolnik'], ['človek', 'življenje', 'videti', 'umreti', 'misliti', 'razumeti', 'zdravje', 'delati', 'umirati', 'živeti'], ['čas', 'epidemija', 'kriza', 'skrajen', 'deloven', 'težek', 'priti', 'zato', 'političen', 'pomagati']]",0.7266666666666667,-0.19735800916554383,-11.68151175469119,2
LDA,5000,"[['pomoč', 'občina', 'oseba', 'dom', 'prebrati', 'spomniti', 'končno', 'hiša', 'ženska', 'tehničen'], ['delo', 'verjeti', 'izjava', 'služba', 'prispevek', 'stanje', 'odločitev', 'cesta', 'Maribor', 'pasti'], ['najbolj', 'sodišče', 'govoriti', 'naprej', 'najti', 'ZDA', 'zgoditi', 'ustaven', 'slišati', 'novica'], ['dr.', 'teden', 'podpora', 'napad', 'Rtv', 'hud', 'intervju', 'odličen', 'zaposlen', 'aplikacija'], ['politika', 'slo.', 'smrt', 'komunist', 'podatek', 'znati', 'slika', 'račun', 'javno', 'organizacija'], ['medij', 'maska', 'novinar', 'konec', 'via', 'oblast', 'levičar', 'rdeč', 'naslednji', 'resnica'], ['javen', 'Ljubljana', 'RTV', 'denar', 'hvala', 'zakon', 'današnji', 'zanimiv', 'živeti', 'seja'], ['stranka', 'poslanec', 'praviti', 'lev', 'levica', 'milijon', 'evro', 'zdravnik', 'vojska', 'član'], ['vlada', 'minister', 'predsednik', 'Janša', 'priti', 'državen', 'protest', 'policija', 'Janez', 'del'], ['dati', 'ura', 'gledati', 'oddaja', 'pogledati', 'beseda', 'knjiga', 'pogovor', 'glaven', 'letos'], ['slovenski', 'treba', 'zdravstven', 'kultura', 'narod', 'zgodba', 'zdeti', 'spleten', 'delavec', 'poslušati'], ['ukrep', 'epidemija', 'narediti', 'virus', 'vprašanje', 'pravica', 'opozicija', 'skupina', 'jasen', 'družba'], ['imeti', 'iti', 'človek', 'država', 'čas', 'vedeti', 'svet', 'delati', 'političen', 'videti'], ['Slovenec', 'Evropa', 'zgodovina', 'vprašati', 'mogoč', 'začetek', 'uspeti', 'žrtev', 'prejšnji', 'početi'], ['Slovenija', 'nov', 'covid', 'koronavirus', 'mesto', 'evropski', 'okužba', 'pomemben', 'okužen', 'število']]",1.0,-0.3488477761098438,-15.391234612443645,2
BERTopic,5000,"[['imeti', 'maska', 'nov', 'dr', 'država', 'iti', 'koronavirus', 'rtv', 'človek', 'policija'], ['imeti', 'otrok', 'človek', 'iti', 'čas', 'nov', 'vedeti', 'šola', 'videti', 'najti'], ['medij', 'novinar', 'medijski', 'rtv', 'novinarka', 'novinarski', 'imeti', 'oddaja', 'levičarski', 'televizija'], ['okužba', 'epidemija', 'zdravstven', 'virus', 'ukrep', 'okužen', 'covid', 'bolnišnica', 'zdravstvo', 'število'], ['vlada', 'stranka', 'predsednik', 'volitev', 'minister', 'imeti', 'političen', 'čas', 'država', 'politika']]",0.82,-0.13419310003359297,-8.748312498633458,2
top2vec,5000,"[array(['ocitno', 'koronavirus', 'videti', 'sodisce', 'najbolj', 'iti',
       'star', 'teden', 'misliti', 'delo'], dtype='<U11'), array(['policija', 'covid', 'dr', 'delo', 'mesto', 'slovenija', 'stranka',
       'ocitno', 'svet', 'ura'], dtype='<U11')]",0.9,-0.27057254935191466,-12.35559442565335,3
NMF,5000,"[['stranka', 'političen', 'poslanec', 'volitev', 'SDS', 'levica', 'lev', 'svet', 'član', 'Desus'], ['imeti', 'pravica', 'težava', 'povedati', 'zato', 'problem', 'otrok', 'pojem', 'reči', 'občutek'], ['vedeti', 'delati', 'povedati', 'otrok', 'dati', 'zato', 'reči', 'priti', 'gledati', 'govoriti'], ['ukrep', 'covid', 'epidemija', 'okužba', 'koronavirus', 'virus', 'dr.', 'glede', 'število', 'teden'], ['maska', 'nositi', 'zaščiten', 'otrok', 'dati', 'šola', 'nošenje', 'obvezen', 'prostor', 'zaprt'], ['človek', 'delati', 'življenje', 'videti', 'umreti', 'misliti', 'razumeti', 'zdravje', 'svet', 'živeti'], ['vlada', 'predsednik', 'Janša', 'Janšev', 'lev', 'Janez', 'prejšnji', 'podpora', 'opozicija', 'Šarec'], ['država', 'globok', 'praven', 'evropski', 'pomoč', 'svet', 'živeti', 'pravica', 'edin', 'občina'], ['nov', 'okužba', 'koronavirus', 'mesto', 'Ljubljana', 'star', 'potrditi', 'številka', 'potrjen', 'demokracija'], ['slovenski', 'vojska', 'narod', 'politika', 'meja', 'Slovenec', 'medij', 'vojak', 'levičar', 'državljan'], ['minister', 'predsednik', 'Janša', 'svet', 'Janez', 'zunanji', 'državen', 'dr.', 'sodišče', 'delo'], ['čas', 'epidemija', 'delo', 'kriza', 'deloven', 'priti', 'skrajen', 'težek', 'pomagati', 'dolgo'], ['Slovenija', 'RTV', 'republika', 'koronavirus', 'Slovenec', 'svet', 'hrvaški', 'Evropa', 'Janša', 'samostojen'], ['javen', 'medij', 'RTV', 'delati', 'denar', 'delo', 'novinar', 'reči', 'protest', 'videti'], ['iti', 'Janša', 'RTV', 'Rtv', 'priti', 'denar', 'naprej', 'dati', 'povedati', 'zato']]",0.74,-0.1867105864895384,-11.460041793705049,3
