model_name,num_documents,topic_representations,topic_diversity,topic_coherence_npmi,topic_coherence_umass,seed
top2vec,5000,"[array(['tekma', 'liga', 'branilec', 'mostvo', 'zadetek', 'soigralec',
       'vratar', 'odigrati', 'tekmec', 'zoga'], dtype='<U15'), array(['koalicijski', 'stranka', 'poslanec', 'poslanski', 'desus',
       'koalicija', 'smc', 'sds', 'lms', 'jansa'], dtype='<U15'), array(['uspesnica', 'pesem', 'film', 'glasbenik', 'glasben', 'snemanje',
       'glasba', 'posneti', 'pevka', 'prijatelj'], dtype='<U15'), array(['prvenstvo', 'sezona', 'stopnicka', 'dirka', 'pokal', 'osvojiti',
       'francoz', 'tekma', 'zmagovalec', 'sestevek'], dtype='<U15'), array(['tehnologija', 'omogocati', 'uporabnik', 'pameten', 'inovativen',
       'racunalnik', 'znanje', 'razvoj', 'izkusnja', 'digitalen'],
      dtype='<U15'), array(['bolnik', 'okuzen', 'okuzba', 'obolel', 'hospitaliziran', 'covid',
       'zdravstven', 'testiranje', 'oskrbovanec', 'intenziven'],
      dtype='<U15'), array(['okuzba', 'okuzen', 'karantena', 'sirjenje', 'koronavirus',
       'covid', 'ukrep', 'potrditi', 'smrten', 'stevilo'], dtype='<U15'), array(['razstava', 'pisatelj', 'kulturen', 'umetniski', 'literaren',
       'avtor', 'gledaliski', 'umetnost', 'knjiga', 'zbirka'],
      dtype='<U15'), array(['obcutek', 'prijeten', 'ljubezen', 'uzivati', 'vedeti', 'srce',
       'telo', 'paziti', 'okus', 'nauciti'], dtype='<U15'), array(['cesta', 'obmocje', 'obvoznica', 'padavina', 'pihati', 'obcina',
       'prikljucek', 'avtocesta', 'krajeven', 'oblacno'], dtype='<U15'), array(['policist', 'nesreca', 'poskodovati', 'trciti', 'zaseci',
       'resevalec', 'policijski', 'prometen', 'kraj', 'alkohol'],
      dtype='<U15'), array(['zaporen', 'trumpov', 'aretirati', 'trump', 'obtoziti', 'vrhoven',
       'tozilstvo', 'zapor', 'obtoznica', 'obtozba'], dtype='<U15'), array(['nadomestilo', 'delodajalec', 'placa', 'dohodek', 'zakon',
       'protikoronski', 'placilo', 'samozaposlen', 'likvidnost',
       'izplacilo'], dtype='<U15'), array(['unija', 'bruselj', 'drzava', 'clanica', 'von', 'voditelj',
       'michel', 'dogovor', 'pogajanje', 'evropski'], dtype='<U15'), array(['rast', 'odstotek', 'upasti', 'cetrtletje', 'milijarda',
       'prihodek', 'povprasevanje', 'dobicek', 'upad', 'polletje'],
      dtype='<U15')]",0.9733333333333334,0.11876911565886245,-2.8912822295280476,1
NMF,5000,"[['tekma', 'sezona', 'liga', 'točka', 'ekipa', 'mesto', 'klub', 'zmaga', 'minuta', 'igrati'], ['zakon', 'predlog', 'dohodnina', 'sprememba', 'podatek', 'pravilnik', 'davčen', 'dohodek', 'javen', 'oseba'], ['odstotek', 'odstoten', 'lani', 'rast', 'indeks', 'točka', 'podatek', 'cena', 'nizek', 'primerjava'], ['država', 'ZDA', 'ameriški', 'Trump', 'predsednik', 'kitajski', 'evropski', 'dejati', 'meja', 'človek'], ['maska', 'oprema', 'zaščiten', 'zavod', 'policija', 'minister', 'ministrstvo', 'sodišče', 'vlada', 'postopek'], ['občina', 'ura', 'javen', 'mesten', 'občinski', 'center', 'številka', 'zaprt', 'prostor', 'občan'], ['nov', 'okužba', 'koronavirus', 'potrditi', 'okužen', 'število', 'umreti', 'covid', 'bolnišnica', 'človek'], ['človek', 'življenje', 'čas', 'svet', 'zato', 'ljubezen', 'iti', 'pomemben', 'začeti', 'odnos'], ['otrok', 'šola', 'starš', 'učenec', 'vrtec', 'družina', 'šolski', 'učitelj', 'izobraževanje', 'osnoven'], ['imeti', 'iti', 'čas', 'vedeti', 'priti', 'reči', 'zato', 'povedati', 'videti', 'delati'], ['Slovenija', 'Ljubljana', 'slovenski', 'Nbsp', 'mednaroden', 'minister', 'zveza', 'hrvaški', 'evropski', 'dogodek'], ['vlada', 'stranka', 'predsednik', 'evropski', 'Janša', 'političen', 'nov', 'poslanec', 'Slovenija', 'medij'], ['evro', 'milijon', 'podjetje', 'družba', 'sredstvo', 'milijarda', 'nov', 'projekt', 'banka', 'finančen'], ['delo', 'deloven', 'čas', 'delavec', 'zaposlen', 'podjetje', 'dom', 'delodajalec', 'plača', 'nadomestilo'], ['ukrep', 'epidemija', 'vlada', 'zdravstven', 'država', 'covid', 'Slovenija', 'okužba', 'bolnik', 'človek']]",0.84,0.11276221722490229,-1.5964955477897709,1
LDA,5000,"[['nov', 'avtomobil', 'sekunda', 'vožnja', 'etapa', 'imeti', 'telefon', 'električen', 'ura', 'model'], ['voda', 'območje', 'temperatura', 'del', 'meter', 'veter', 'morje', 'požar', 'stopinja', 'gasilec'], ['država', 'ameriški', 'ZDA', 'predsednik', 'evropski', 'kitajski', 'poročati', 'agencija', 'tiskoven', 'človek'], ['evro', 'odstotek', 'podjetje', 'milijon', 'delo', 'ukrep', 'država', 'družba', 'Slovenija', 'finančen'], ['otrok', 'šola', 'družina', 'ženska', 'starš', 'mlad', 'moški', 'fotografija', 'učenec', 'šolski'], ['področje', 'spleten', 'sistem', 'razvoj', 'pomemben', 'različen', 'uporaba', 'podjetje', 'nov', 'projekt'], ['slovenski', 'Slovenija', 'hrvaški', 'Ljubljana', 'dogodek', 'nov', 'letos', 'mednaroden', 'potekati', 'zveza'], ['tekma', 'sezona', 'liga', 'ekipa', 'klub', 'zmaga', 'mesto', 'točka', 'prvenstvo', 'igralec'], ['vlada', 'stranka', 'minister', 'predsednik', 'Slovenija', 'zakon', 'predlog', 'sodišče', 'državen', 'Janša'], ['policist', 'policija', 'vozilo', 'ura', 'promet', 'nesreča', 'policijski', 'cesta', 'voznik', 'dejanje'], ['film', 'knjiga', 'nagrada', 'delo', 'zgodba', 'festival', 'kultura', 'glasba', 'svet', 'pesem'], ['hrana', 'cerkev', 'telo', 'žival', 'svet', 'vrsta', 'bog', 'vino', 'dodati', 'izdelek'], ['občina', 'Maribor', 'prostor', 'mesto', 'nov', 'mesten', 'dom', 'delo', 'center', 'župan'], ['imeti', 'čas', 'človek', 'iti', 'zato', 'vedeti', 'življenje', 'priti', 'videti', 'povedati'], ['nov', 'okužba', 'koronavirus', 'ukrep', 'covid', 'človek', 'zdravstven', 'število', 'okužen', 'epidemija']]",0.88,0.0678150626294134,-1.8331521335630352,1
BERTopic,5000,"[['nov', 'imeti', 'slovenija', 'država', 'čas', 'človek', 'vlada', 'ukrep', 'delo', 'slovenski']]",1.0,-0.0854031524635143,-4.207631335389698,1
top2vec,5000,"[array(['clovek', 'ziveti', 'zato', 'zivljenje', 'oblast', 'ukrep',
       'drzava', 'mnog', 'policija', 'virus'], dtype='<U14'), array(['tekma', 'prvak', 'liga', 'gol', 'zadetek', 'trener', 'olimpija',
       'vratar', 'nogometas', 'polcas'], dtype='<U14'), array(['pokal', 'osvojiti', 'sestevek', 'tekma', 'prvenstvo',
       'disciplina', 'polfinale', 'sekunda', 'svetoven', 'uvrstitev'],
      dtype='<U14'), array(['kosarkar', 'dragic', 'koncnica', 'nba', 'doncic', 'orlando',
       'miami', 'kosarkarski', 'dallas', 'mostvo'], dtype='<U14'), array(['turnir', 'teniski', 'dvoboj', 'tenis', 'grand', 'cetrtfinale',
       'finale', 'polfinale', 'ugnati', 'zmagovalka'], dtype='<U14'), array(['olimpijski', 'komite', 'mok', 'tokio', 'igra', 'sportnik',
       'japonski', 'tekmovanje', 'organizacijski', 'svetoven'],
      dtype='<U14'), array(['etapa', 'roglic', 'pogacar', 'tour', 'majica', 'kolesar', 'dirka',
       'tadej', 'start', 'primoz'], dtype='<U14'), array(['dirka', 'formula', 'dirkac', 'eliten', 'sestevek', 'start',
       'tekmovanje', 'sezona', 'prvak', 'prvenstvo'], dtype='<U14'), array(['prevc', 'zajc', 'ziga', 'skok', 'pokal', 'peter', 'domen',
       'kvalifikacija', 'anze', 'turneja'], dtype='<U14')]",0.8888888888888888,0.1084828239756539,-4.423067826078509,2
NMF,5000,"[['nov', 'okužba', 'koronavirus', 'potrditi', 'število', 'človek', 'okužen', 'covid', 'umreti', 'bolnik'], ['občina', 'ura', 'javen', 'mesten', 'občinski', 'center', 'številka', 'zaprt', 'občan', 'nadaljnji'], ['Nbsp', 'Ljubljana', 'minister', 'sodišče', 'predsednik', 'svetoven', 'konferenca', 'nov', 'mednaroden', 'evropski'], ['ukrep', 'epidemija', 'vlada', 'zdravstven', 'covid', 'Slovenija', 'zdravje', 'bolnik', 'javen', 'bolezen'], ['človek', 'čas', 'življenje', 'svet', 'zato', 'ljubezen', 'iti', 'začeti', 'odnos', 'vedeti'], ['vlada', 'stranka', 'predsednik', 'poslanec', 'Janša', 'volitev', 'političen', 'nov', 'minister', 'koalicija'], ['nov', 'podjetje', 'vozilo', 'mesto', 'spleten', 'sistem', 'avtomobil', 'projekt', 'uporabnik', 'tehnologija'], ['odstotek', 'evro', 'milijon', 'podjetje', 'milijarda', 'lani', 'cena', 'odstoten', 'prihodek', 'družba'], ['tekma', 'sezona', 'liga', 'točka', 'ekipa', 'mesto', 'klub', 'zmaga', 'minuta', 'igrati'], ['otrok', 'šola', 'starš', 'učenec', 'vrtec', 'družina', 'šolski', 'učitelj', 'osnoven', 'izobraževanje'], ['Slovenija', 'slovenski', 'Ljubljana', 'hrvaški', 'evropski', 'republika', 'zveza', 'mednaroden', 'država', 'Slovenec'], ['delo', 'zakon', 'deloven', 'delavec', 'plača', 'delodajalec', 'zaposlen', 'čas', 'predlog', 'nadomestilo'], ['maska', 'oprema', 'zaščiten', 'podjetje', 'zavod', 'ministrstvo', 'sodišče', 'policija', 'pogodba', 'postopek'], ['imeti', 'iti', 'vedeti', 'priti', 'reči', 'čas', 'povedati', 'zato', 'videti', 'delati'], ['država', 'evropski', 'ZDA', 'ameriški', 'predsednik', 'kitajski', 'meja', 'Trump', 'pandemija', 'članica']]",0.8266666666666667,0.10854262935362656,-1.6903087143711526,2
LDA,5000,"[['tekma', 'sezona', 'liga', 'ekipa', 'klub', 'točka', 'zmaga', 'slovenski', 'prvenstvo', 'igralec'], ['vlada', 'Slovenija', 'predsednik', 'minister', 'stranka', 'slovenski', 'zakon', 'predlog', 'državen', 'država'], ['Slovenija', 'temperatura', 'prehod', 'cesta', 'ura', 'veter', 'stopinja', 'mejen', 'pretežno', 'avtocesta'], ['slovenski', 'film', 'svet', 'knjiga', 'nov', 'nagrada', 'dogodek', 'delo', 'Slovenija', 'mlad'], ['imeti', 'čas', 'človek', 'zato', 'iti', 'življenje', 'vedeti', 'otrok', 'videti', 'priti'], ['spleten', 'sistem', 'uporaba', 'uporabnik', 'omogočati', 'uporabljati', 'aplikacija', 'podatek', 'tehnologija', 'različen'], ['ameriški', 'ZDA', 'Trump', 'volitev', 'predsednik', 'dolar', 'New', 'York', 'glas', 'Donald'], ['država', 'nov', 'hrvaški', 'evropski', 'človek', 'koronavirus', 'poročati', 'pandemija', 'kitajski', 'agencija'], ['evro', 'podjetje', 'odstotek', 'milijon', 'Slovenija', 'delo', 'družba', 'nov', 'sredstvo', 'cena'], ['občina', 'vozilo', 'prostor', 'območje', 'nov', 'avtomobil', 'mesto', 'cesta', 'voznik', 'Ljubljana'], ['dirka', 'mesto', 'imeti', 'nov', 'telefon', 'kolesar', 'model', 'pameten', 'svetoven', 'etapa'], ['ukrep', 'šola', 'otrok', 'delo', 'javen', 'čas', 'veljati', 'odlok', 'epidemija', 'Slovenija'], ['policist', 'policija', 'sodišče', 'policijski', 'dejanje', 'leten', 'preiskava', 'kazniv', 'kazen', 'protest'], ['okužba', 'nov', 'koronavirus', 'covid', 'zdravstven', 'število', 'okužen', 'bolnik', 'bolnišnica', 'bolezen'], ['voda', 'hrana', 'izdelek', 'žival', 'indeks', 'telo', 'naraven', 'vrsta', 'okolje', 'dodati']]",0.8533333333333334,0.07557971151071327,-1.856180983936074,2
BERTopic,5000,"[['tekma', 'nba', 'točka', 'liga', 'trump', 'miami', 'dončić', 'dallas', 'dragić', 'zmaga'], ['nov', 'imeti', 'slovenija', 'država', 'čas', 'človek', 'vlada', 'ukrep', 'koronavirus', 'delo']]",1.0,-0.045515158882260195,-4.40248233239109,2
top2vec,5000,"[array(['ljubezen', 'misel', 'zivljenje', 'obcutek', 'zacutiti', 'srce',
       'poceti', 'cisto', 'znati', 'veselje'], dtype='<U14'), array(['policist', 'policijski', 'nesreca', 'kraj', 'zaseci', 'kazniv',
       'voznik', 'vozilo', 'trciti', 'dejanje'], dtype='<U14'), array(['koalicija', 'politicen', 'vlada', 'sds', 'poslanec', 'desus',
       'stranka', 'smc', 'jansa', 'lms'], dtype='<U14'), array(['trump', 'zda', 'donald', 'predsednik', 'predsedniski', 'trumpov',
       'biden', 'drzava', 'bruselj', 'demokratski'], dtype='<U14'), array(['gospodarstvo', 'rast', 'bruto', 'dohodek', 'obseg', 'poslovanje',
       'nadomestilo', 'odstotek', 'povprasevanje', 'bdp'], dtype='<U14'), array(['tehnologija', 'baterija', 'napreden', 'pameten', 'zaslon',
       'razviti', 'proizvajalec', 'inovativen', 'uporabljati', 'lastnost'],
      dtype='<U14'), array(['osvojiti', 'kvalifikacija', 'prvenstvo', 'zmagovalec', 'pokal',
       'sezona', 'pomeriti', 'tekma', 'zmaga', 'finale'], dtype='<U14'), array(['nogometen', 'klub', 'prvenstvo', 'liga', 'trener', 'nogomet',
       'nogometas', 'tekma', 'klubski', 'sezona'], dtype='<U14'), array(['glasben', 'snemanje', 'glasba', 'film', 'skladba', 'zabaven',
       'pesem', 'glasbenik', 'reziser', 'posneti'], dtype='<U14'), array(['gradnja', 'objekt', 'obcina', 'gradben', 'infrastruktura',
       'ureditev', 'urejanje', 'projekt', 'sanacija', 'okolje'],
      dtype='<U14'), array(['tekma', 'podaja', 'zadetek', 'polcas', 'strelec', 'sezona',
       'zmaga', 'olimpija', 'igrati', 'liga'], dtype='<U14'), array(['umetniski', 'umetnost', 'gledalisce', 'literaren', 'razstava',
       'avtor', 'kulturen', 'presernov', 'gledaliski', 'ustvarjalec'],
      dtype='<U14'), array(['epidemioloski', 'ukrep', 'omejitev', 'kacin', 'govorec',
       'sirjenje', 'nimz', 'ucenec', 'sola', 'pouk'], dtype='<U14'), array(['okuzba', 'koronavirus', 'umreti', 'okuzen', 'smrten', 'sirjenje',
       'potrditi', 'stevilo', 'potrjen', 'porocati'], dtype='<U14'), array(['bolnik', 'okuzba', 'hospitaliziran', 'bolnisnica', 'bolnisnicen',
       'intenziven', 'okuzen', 'obolel', 'zdravljenje', 'potrjen'],
      dtype='<U14')]",0.9266666666666666,0.11979561454649473,-3.0800853375983306,3
NMF,5000,"[['podjetje', 'maska', 'oprema', 'zaščiten', 'imeti', 'zavod', 'vozilo', 'cena', 'uporaba', 'blagoven'], ['evro', 'milijon', 'milijarda', 'sredstvo', 'družba', 'država', 'prihodek', 'proračun', 'višina', 'projekt'], ['vlada', 'država', 'stranka', 'predsednik', 'Slovenija', 'evropski', 'političen', 'Janša', 'slovenski', 'volitev'], ['imeti', 'človek', 'iti', 'čas', 'vedeti', 'priti', 'zato', 'reči', 'življenje', 'videti'], ['okužba', 'covid', 'koronavirus', 'človek', 'država', 'bolnik', 'število', 'okužen', 'potrditi', 'bolnišnica'], ['delo', 'čas', 'dom', 'deloven', 'zaposlen', 'delavec', 'delodajalec', 'plača', 'delati', 'star'], ['tekma', 'sezona', 'liga', 'točka', 'ekipa', 'mesto', 'klub', 'zmaga', 'minuta', 'igrati'], ['svet', 'slovenski', 'film', 'ljubezen', 'projekt', 'spleten', 'življenje', 'čas', 'zato', 'pomemben'], ['ukrep', 'vlada', 'epidemija', 'javen', 'koronavirus', 'človek', 'država', 'čas', 'veljati', 'širjenje'], ['odstotek', 'odstoten', 'Slovenija', 'rast', 'lani', 'država', 'indeks', 'točka', 'cena', 'nizek'], ['občina', 'ura', 'javen', 'mesten', 'občinski', 'center', 'številka', 'zaprt', 'občan', 'nadaljnji'], ['nov', 'koronavirus', 'umreti', 'pandemija', 'potrditi', 'testiranje', 'mesto', 'svet', 'kitajski', 'ura'], ['zakon', 'predlog', 'podjetje', 'javen', 'sprememba', 'plača', 'podatek', 'Slovenija', 'dohodnina', 'oseba'], ['otrok', 'šola', 'starš', 'učenec', 'vrtec', 'družina', 'šolski', 'učitelj', 'osnoven', 'izobraževanje'], ['Ljubljana', 'Slovenija', 'Nbsp', 'slovenski', 'minister', 'mednaroden', 'zveza', 'konferenca', 'evropski', 'sodišče']]",0.7866666666666666,0.10770334997341467,-1.7134563855731613,3
