model_name,num_documents,topic_representations,topic_diversity,topic_coherence_npmi,topic_coherence_umass,seed
top2vec,5000,"[array(['predsednik', 'slovenski', 'konec', 'zakon', 'virus', 'protest',
       'teden', 'delati', 'epidemija', 'izjava'], dtype='<U11'), array(['ura', 'protest', 'levica', 'sodisce', 'reci', 'konec', 'policija',
       'via', 'izjava', 'lev'], dtype='<U11'), array(['drzaven', 'star', 'clovek', 'ocitno', 'rtv', 'priti', 'svet',
       'videti', 'virus', 'vlada'], dtype='<U11'), array(['covid', 'maska', 'zakon', 'javen', 'delati', 'zato', 'iti',
       'ukrep', 'reci', 'slovenija'], dtype='<U11'), array(['nov', 'vedeti', 'pomoc', 'levicar', 'iti', 'ljubljana', 'clovek',
       'ocitno', 'ura', 'obcina'], dtype='<U11'), array(['stranka', 'policija', 'cas', 'minister', 'obcina', 'zato',
       'levicar', 'iti', 'politicen', 'ocitno'], dtype='<U11'), array(['cas', 'medij', 'slovenec', 'oddaja', 'virus', 'vedeti', 'delo',
       'rtv', 'maska', 'star'], dtype='<U11'), array(['svet', 'levica', 'sodisce', 'volitev', 'maska', 'imeti', 'videti',
       'teden', 'denar', 'politicen'], dtype='<U11'), array(['slovenec', 'rtv', 'najbolj', 'levicar', 'novinar', 'slovenija',
       'clovek', 'covid', 'otrok', 'koronavirus'], dtype='<U11'), array(['glede', 'oddaja', 'rtv', 'iti', 'dobiti', 'politicen', 'stranka',
       'praviti', 'drzava', 'volitev'], dtype='<U11'), array(['via', 'vlada', 'jansa', 'sarec', 'iti', 'povedati', 'razumeti',
       'slovenec', 'otrok', 'delo'], dtype='<U11'), array(['koronavirus', 'denar', 'praviti', 'zato', 'ljubljana', 'priti',
       'izjava', 'povedati', 'star', 'slovenski'], dtype='<U11'), array(['slovenec', 'oddaja', 'nov', 'zaceti', 'drzava', 'otrok', 'zakon',
       'pomoc', 'konec', 'vedeti'], dtype='<U11'), array(['delo', 'okuzba', 'obcina', 'ocitno', 'videti', 'virus', 'mesto',
       'svet', 'epidemija', 'zaceti'], dtype='<U11'), array(['via', 'javen', 'denar', 'novinar', 'meja', 'ura', 'jansa',
       'zaceti', 'politicen', 'predsednik'], dtype='<U11')]",0.44,-0.31579681226551926,-13.037819891684565,1
NMF,5000,"[['slovenski', 'vojska', 'narod', 'politika', 'meja', 'Slovenec', 'vojak', 'kultura', 'državljan', 'levičar'], ['Janša', 'Janez', 'minister', 'premier', 'SDS', 'Šarec', 'volitev', 'intervju', 'dr.', 'zunanji'], ['stranka', 'Ljubljana', 'pomoč', 'gasilec', 'občina', 'požar', 'tehničen', 'prijava', 'covid', 'povedati'], ['človek', 'ukrep', 'življenje', 'videti', 'umreti', 'misliti', 'razumeti', 'zdravje', 'virus', 'star'], ['medij', 'maska', 'javen', 'minister', 'dobiti', 'RTV', 'novinar', 'nositi', 'dati', 'ukrep'], ['nov', 'okužba', 'koronavirus', 'mesto', 'covid', 'ukrep', 'potrditi', 'star', 'okužen', 'potrjen'], ['vedeti', 'otrok', 'dati', 'reči', 'povedati', 'zato', 'gledati', 'priti', 'govoriti', 'misliti'], ['delo', 'delati', 'ukrep', 'služba', 'otrok', 'državen', 'zato', 'glede', 'videti', 'zaposlitev'], ['vlada', 'ukrep', 'Janšev', 'lev', 'prejšnji', 'opozicija', 'podpora', 'Šarec', 'epidemija', 'šarčev'], ['Slovenija', 'RTV', 'koronavirus', 'republika', 'Slovenec', 'svet', 'covid', 'hrvaški', 'Evropa', 'samostojen'], ['imeti', 'pravica', 'težava', 'zato', 'problem', 'pojem', 'otrok', 'reči', 'povedati', 'občutek'], ['iti', 'RTV', 'Rtv', 'denar', 'reči', 'naprej', 'dati', 'priti', 'videti', 'zato'], ['čas', 'covid', 'epidemija', 'ukrep', 'koronavirus', 'kriza', 'deloven', 'skrajen', 'virus', 'težek'], ['predsednik', 'svet', 'sodišče', 'državen', 'republika', 'pogovor', 'oddaja', 'Pahor', 'ZDA', 'računski'], ['država', 'globok', 'praven', 'svet', 'evropski', 'ukrep', 'živeti', 'pravica', 'edin', 'Evropa']]",0.7333333333333333,-0.18141789726106383,-11.318352034337233,1
LDA,5000,"[['ura', 'teden', 'pravica', 'komunist', 'čakati', 'verjeti', 'naslednji', 'mnenje', 'policist', 'čestitka'], ['protest', 'hvala', 'današnji', 'levičar', 'pogledati', 'vojska', 'podpora', 'boj', 'aplikacija', 'mogoč'], ['mesto', 'sodišče', 'občina', 'levica', 'smrt', 'kultura', 'ustaven', 'laž', 'svetoven', 'hiša'], ['milijon', 'podjetje', 'vojna', 'zaščiten', 'zdeti', 'sprejeti', 'zadeva', 'končno', 'oprema', 'poročilo'], ['povedati', 'priti', 'Slovenec', 'misliti', 'praviti', 'državljan', 'ostati', 'narod', 'potreben', 'Šarec'], ['dobiti', 'novinar', 'RTV', 'slo.', 'treba', 'upati', 'problem', 'družba', 'komunističen', 'kazati'], ['nov', 'okužba', 'gledati', 'zakon', 'rdeč', 'zanimiv', 'večina', 'okužen', 'seja', 'medijski'], ['iti', 'zato', 'reči', 'narediti', 'volitev', 'via', 'lev', 'evro', 'naprej', 'živeti'], ['svet', 'stranka', 'Ljubljana', 'pomoč', 'poslanec', 'vprašanje', 'Evropa', 'skupina', 'oseba', 'prositi'], ['meja', 'oddaja', 'zdravnik', 'služba', 'direktor', 'pot', 'predstavljati', 'Maribor', 'razmera', 'račun'], ['slovenski', 'evropski', 'skupaj', 'roka', 'zgodovina', 'slišati', 'družina', 'pogovor', 'poznati', 'glaven'], ['imeti', 'vedeti', 'maska', 'delati', 'videti', 'dati', 'otrok', 'denar', 'začeti', 'razumeti'], ['dr.', 'govoriti', 'pisati', 'beseda', 'izjava', 'število', 'mlad', 'napad', 'ime', 'zgoditi'], ['državen', 'najbolj', 'konec', 'virus', 'podatek', 'potrebovati', 'zgodba', 'znati', 'knjiga', 'ženska'], ['Slovenija', 'vlada', 'človek', 'država', 'čas', 'minister', 'predsednik', 'covid', 'ukrep', 'medij']]",1.0,-0.3744079964942509,-15.935255691880222,1
BERTopic,5000,"[['maska', 'imeti', 'policija', 'požar', 'gasilec', 'policist', 'twitter', 'evro', 'nov', 'vozilo'], ['slovenija', 'slovenski', 'ljubljana', 'slovenec', 'imeti', 'vlada', 'evropski', 'nov', 'iti', 'evropa']]",0.9,-0.3199667540246739,-12.843158352643393,1
top2vec,5000,"[array(['danasnji', 'narediti', 'otrok', 'razumeti', 'dr', 'gledati',
       'volitev', 'zato', 'minister', 'vlada'], dtype='<U11'), array(['covid', 'drzaven', 'minister', 'cas', 'najbolj', 'videti',
       'evropski', 'zaceti', 'medij', 'javen'], dtype='<U11'), array(['via', 'cas', 'protest', 'slovenec', 'clovek', 'poslanec',
       'delati', 'delo', 'teden', 'medij'], dtype='<U11'), array(['stranka', 'minister', 'predsednik', 'reci', 'pomoc', 'javen',
       'delati', 'denar', 'iti', 'dobiti'], dtype='<U11'), array(['reci', 'svet', 'drzava', 'iti', 'zaceti', 'mesto', 'koronavirus',
       'politika', 'cas', 'dobiti'], dtype='<U11'), array(['dati', 'volitev', 'star', 'zakon', 'misliti', 'vedeti', 'mesto',
       'protest', 'hvala', 'ukrep'], dtype='<U11'), array(['nov', 'zakon', 'vlada', 'ljubljana', 'priti', 'jansa', 'clovek',
       'evropski', 'slovenija', 'star'], dtype='<U11'), array(['zakon', 'epidemija', 'drzaven', 'medij', 'slovenec', 'vlada',
       'ljubljana', 'glede', 'slovenski', 'politicen'], dtype='<U11'), array(['star', 'sodisce', 'covid', 'videti', 'danasnji', 'volitev',
       'gledati', 'imeti', 'glede', 'povedati'], dtype='<U11'), array(['narediti', 'glede', 'janez', 'reci', 'jansa', 'razumeti', 'teden',
       'dr', 'dobiti', 'epidemija'], dtype='<U11'), array(['mesto', 'politika', 'pomoc', 'imeti', 'slovenski', 'zaceti',
       'volitev', 'gledati', 'dati', 'najbolj'], dtype='<U11'), array(['star', 'denar', 'rtv', 'politicen', 'pomoc', 'govoriti', 'teden',
       'otrok', 'vedeti', 'poslanec'], dtype='<U11'), array(['maska', 'evropski', 'novinar', 'covid', 'cas', 'epidemija',
       'misliti', 'hvala', 'zakon', 'star'], dtype='<U11'), array(['novinar', 'minister', 'reci', 'cas', 'ukrep', 'slovenec', 'dr',
       'via', 'nov', 'maska'], dtype='<U11'), array(['videti', 'policija', 'maska', 'koronavirus', 'covid', 'via',
       'sodisce', 'svet', 'iti', 'javen'], dtype='<U11')]",0.4266666666666667,-0.2922837477513337,-12.79557418586464,2
NMF,5000,"[['država', 'globok', 'praven', 'predsednik', 'evropski', 'živeti', 'političen', 'sodišče', 'pravica', 'edin'], ['imeti', 'pravica', 'težava', 'zato', 'povedati', 'problem', 'stranka', 'otrok', 'pojem', 'reči'], ['Slovenija', 'RTV', 'republika', 'koronavirus', 'stranka', 'Slovenec', 'predsednik', 'hrvaški', 'samostojen', 'Evropa'], ['Janša', 'maska', 'Janez', 'medij', 'predsednik', 'nositi', 'zaščiten', 'stranka', 'premier', 'dati'], ['vedeti', 'povedati', 'reči', 'dati', 'zato', 'otrok', 'gledati', 'delati', 'govoriti', 'misliti'], ['iti', 'RTV', 'Rtv', 'denar', 'reči', 'dati', 'naprej', 'zato', 'povedati', 'političen'], ['minister', 'dr.', 'zunanji', 'notranji', 'Hojs', 'zadeva', 'predsednik', 'državen', 'zdravje', 'kultura'], ['vlada', 'predsednik', 'Janšev', 'lev', 'prejšnji', 'podpora', 'opozicija', 'stranka', 'Šarec', 'narediti'], ['slovenski', 'vojska', 'narod', 'medij', 'politika', 'meja', 'Slovenec', 'vojak', 'političen', 'kultura'], ['nov', 'okužba', 'koronavirus', 'mesto', 'potrditi', 'demokracija', 'številka', 'star', 'potrjen', 'direktor'], ['delo', 'pomoč', 'Ljubljana', 'delati', 'javen', 'gasilec', 'občina', 'požar', 'ura', 'tehničen'], ['ukrep', 'svet', 'dobiti', 'državen', 'zato', 'epidemija', 'seja', 'virus', 'stranka', 'evropski'], ['covid', 'okužba', 'epidemija', 'koronavirus', 'število', 'dr.', 'glede', 'virus', 'okužen', 'bolnik'], ['človek', 'življenje', 'videti', 'umreti', 'misliti', 'razumeti', 'zdravje', 'delati', 'umirati', 'živeti'], ['čas', 'epidemija', 'kriza', 'skrajen', 'deloven', 'težek', 'priti', 'zato', 'političen', 'pomagati']]",0.7266666666666667,-0.19309482918212637,-11.641387364371838,2
LDA,5000,"[['pomoč', 'občina', 'oseba', 'dom', 'prebrati', 'spomniti', 'končno', 'hiša', 'ženska', 'tehničen'], ['delo', 'verjeti', 'izjava', 'služba', 'prispevek', 'stanje', 'odločitev', 'cesta', 'Maribor', 'pasti'], ['najbolj', 'sodišče', 'govoriti', 'naprej', 'najti', 'ZDA', 'zgoditi', 'ustaven', 'slišati', 'novica'], ['dr.', 'teden', 'podpora', 'napad', 'Rtv', 'hud', 'intervju', 'odličen', 'zaposlen', 'aplikacija'], ['politika', 'slo.', 'smrt', 'komunist', 'podatek', 'znati', 'slika', 'račun', 'javno', 'organizacija'], ['medij', 'maska', 'novinar', 'konec', 'via', 'oblast', 'levičar', 'rdeč', 'naslednji', 'resnica'], ['javen', 'Ljubljana', 'RTV', 'denar', 'hvala', 'zakon', 'današnji', 'zanimiv', 'živeti', 'seja'], ['stranka', 'poslanec', 'praviti', 'lev', 'levica', 'milijon', 'evro', 'zdravnik', 'vojska', 'član'], ['vlada', 'minister', 'predsednik', 'Janša', 'priti', 'državen', 'protest', 'policija', 'Janez', 'del'], ['dati', 'ura', 'gledati', 'oddaja', 'pogledati', 'beseda', 'knjiga', 'pogovor', 'glaven', 'letos'], ['slovenski', 'treba', 'zdravstven', 'kultura', 'narod', 'zgodba', 'zdeti', 'spleten', 'delavec', 'poslušati'], ['ukrep', 'epidemija', 'narediti', 'virus', 'vprašanje', 'pravica', 'opozicija', 'skupina', 'jasen', 'družba'], ['imeti', 'iti', 'človek', 'država', 'čas', 'vedeti', 'svet', 'delati', 'političen', 'videti'], ['Slovenec', 'Evropa', 'zgodovina', 'vprašati', 'mogoč', 'začetek', 'uspeti', 'žrtev', 'prejšnji', 'početi'], ['Slovenija', 'nov', 'covid', 'koronavirus', 'mesto', 'evropski', 'okužba', 'pomemben', 'okužen', 'število']]",1.0,-0.3415390708864721,-15.182653373592526,2
BERTopic,5000,"[['imeti', 'čas', 'nov', 'iti', 'otrok', 'maska', 'koronavirus', 'država', 'človek', 'protest'], ['epidemija', 'okužba', 'zdravnik', 'covid', 'zdravstven', 'bolnišnica', 'bolnik', 'dr', 'nov', 'zdravje'], ['imeti', 'iti', 'človek', 'vedeti', 'reči', 'nov', 'dati', 'star', 'videti', 'povedati'], ['novinar', 'medij', 'medijski', 'novinarka', 'novica', 'novinarstvo', 'poročati', 'javen', 'rtv', 'novinarski'], ['vlada', 'predsednik', 'volitev', 'imeti', 'stranka', 'minister', 'političen', 'država', 'sodišče', 'opozicija']]",0.86,-0.08234605151604395,-7.93942019556264,2
top2vec,5000,"[array(['clovek', 'dati', 'svet', 'priti', 'zato', 'govoriti', 'politicen',
       'vedeti', 'narediti', 'hvala'], dtype='<U10'), array(['pisati', 'priti', 'star', 'imeti', 'pomoc', 'rtv', 'lev',
       'slovenija', 'via', 'misliti'], dtype='<U10')]",0.95,-0.2890946942092753,-12.803556376776823,3
NMF,5000,"[['stranka', 'političen', 'poslanec', 'volitev', 'SDS', 'levica', 'lev', 'svet', 'član', 'Desus'], ['imeti', 'pravica', 'težava', 'povedati', 'zato', 'problem', 'otrok', 'pojem', 'reči', 'občutek'], ['vedeti', 'delati', 'povedati', 'otrok', 'dati', 'zato', 'reči', 'priti', 'gledati', 'govoriti'], ['ukrep', 'covid', 'epidemija', 'okužba', 'koronavirus', 'virus', 'dr.', 'glede', 'število', 'teden'], ['maska', 'nositi', 'zaščiten', 'otrok', 'dati', 'šola', 'nošenje', 'obvezen', 'prostor', 'zaprt'], ['človek', 'delati', 'življenje', 'videti', 'umreti', 'misliti', 'razumeti', 'zdravje', 'svet', 'živeti'], ['vlada', 'predsednik', 'Janša', 'Janšev', 'lev', 'Janez', 'prejšnji', 'podpora', 'opozicija', 'Šarec'], ['država', 'globok', 'praven', 'evropski', 'pomoč', 'svet', 'živeti', 'pravica', 'edin', 'občina'], ['nov', 'okužba', 'koronavirus', 'mesto', 'Ljubljana', 'star', 'potrditi', 'številka', 'potrjen', 'demokracija'], ['slovenski', 'vojska', 'narod', 'politika', 'meja', 'Slovenec', 'medij', 'vojak', 'levičar', 'državljan'], ['minister', 'predsednik', 'Janša', 'svet', 'Janez', 'zunanji', 'državen', 'dr.', 'sodišče', 'delo'], ['čas', 'epidemija', 'delo', 'kriza', 'deloven', 'priti', 'skrajen', 'težek', 'pomagati', 'dolgo'], ['Slovenija', 'RTV', 'republika', 'koronavirus', 'Slovenec', 'svet', 'hrvaški', 'Evropa', 'Janša', 'samostojen'], ['javen', 'medij', 'RTV', 'delati', 'denar', 'delo', 'novinar', 'reči', 'protest', 'videti'], ['iti', 'Janša', 'RTV', 'Rtv', 'priti', 'denar', 'naprej', 'dati', 'povedati', 'zato']]",0.74,-0.210434845083615,-12.125593459587769,3
